Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/30/2024,07/31/2024,ZIPTHRU,Food & Drink,Sale,-40.00,
07/30/2024,07/30/2024,Payment Thank You-Mobile,,Payment,1015.02,
07/28/2024,07/30/2024,PHO LEXINGTON,Food & Drink,Sale,-54.00,
07/28/2024,07/29/2024,TST* BAGEL POINT - MANHAT,Food & Drink,Sale,-2.18,
07/28/2024,07/29/2024,TST* BAGEL POINT - MANHAT,Food & Drink,Sale,-14.74,
07/28/2024,07/29/2024,DD *DOORDASH HAMACHISU,Food & Drink,Sale,-37.29,
07/27/2024,07/28/2024,SQ *KING'S STREET COFFEE,Food & Drink,Sale,-7.96,
07/26/2024,07/28/2024,UEP*BIAO SUGAR,Food & Drink,Sale,-37.25,
07/26/2024,07/28/2024,SAL'S PIZZERIA,Food & Drink,Sale,-12.48,
07/26/2024,07/28/2024,UBER   TRIP,Travel,Sale,-40.76,
07/26/2024,07/28/2024,A&amp;N DELI AND GRILL,Groceries,Sale,-5.20,
07/26/2024,07/28/2024,HANA GROUP INC,Food & Drink,Sale,-11.40,
07/24/2024,07/26/2024,ZIGGLE TOFU &amp; GRILL,Food & Drink,Sale,-89.91,
07/24/2024,07/25/2024,CURB NYC TAXI,Travel,Sale,-17.80,
07/24/2024,07/24/2024,IC* INSTACART*SUBSCRIP,Groceries,Sale,-107.79,
07/23/2024,07/24/2024,UBER   TRIP,Travel,Sale,-40.70,
07/21/2024,07/22/2024,BEACONS CLOSET III  INC.,Shopping,Sale,-18.95,
07/21/2024,07/22/2024,BAGEL SMITH,Groceries,Sale,-3.38,
07/19/2024,07/21/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
07/19/2024,07/21/2024,SP POLENE USA  INC.,Shopping,Sale,-210.00,
07/19/2024,07/21/2024,NEW YORK KAZUNORI NOMAD,Food & Drink,Sale,-176.92,
07/18/2024,07/21/2024,Xing Fu Tang Koreatown,Food & Drink,Sale,-15.65,
07/20/2024,07/21/2024,SQ *KING'S STREET COFFEE,Food & Drink,Sale,-11.27,
07/19/2024,07/21/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
07/19/2024,07/19/2024,LYFT   *RIDE WED 11PM,Travel,Sale,-61.99,
07/18/2024,07/19/2024,TESO LIFE,Shopping,Sale,-11.14,
07/18/2024,07/19/2024,SQ *KING'S STREET COFFEE,Food & Drink,Sale,-10.50,
07/18/2024,07/19/2024,DD *DOORDASH BONCHON,Food & Drink,Sale,-63.96,
07/18/2024,07/18/2024,Payment Thank You-Mobile,,Payment,1242.67,
07/15/2024,07/17/2024,M &amp; M  DETOX DELI CORP,Groceries,Sale,-10.14,
07/16/2024,07/17/2024,GAMMEEOK NYC,Food & Drink,Sale,-77.74,
07/16/2024,07/17/2024,WALGREENS #4363,Health & Wellness,Sale,-32.87,
07/16/2024,07/17/2024,SQ *KING'S STREET COFFEE,Food & Drink,Sale,-7.96,
07/16/2024,07/17/2024,ZIPTHRU,Food & Drink,Sale,-40.00,
07/16/2024,07/16/2024,LYFT   *RIDE SUN 11PM,Travel,Sale,-36.82,
07/15/2024,07/16/2024,BROOKLYN HARVEST,Groceries,Sale,-20.93,
07/14/2024,07/16/2024,EPIC SPIRITS,Food & Drink,Sale,-48.97,
07/14/2024,07/15/2024,UBER   TRIP,Travel,Sale,-40.93,
07/15/2024,07/15/2024,PATH TAPP PAYGO CP,Travel,Sale,-2.75,
07/14/2024,07/15/2024,DD *DOORDASH 5IVESPICE,Food & Drink,Sale,-113.27,
07/13/2024,07/14/2024,TST* LITTLE REBEL,Food & Drink,Sale,-38.97,
07/12/2024,07/14/2024,OLAS COFFEE ROASTERS A,Food & Drink,Sale,-7.20,
07/14/2024,07/14/2024,UBER   TRIP,Travel,Sale,-36.08,
07/13/2024,07/14/2024,SQ *19 CAFE,Food & Drink,Sale,-36.63,
07/12/2024,07/14/2024,TST* DIG INN- 133 WEST 38,Food & Drink,Sale,-16.20,
07/13/2024,07/14/2024,TST* LITTLE REBEL,Food & Drink,Sale,-58.44,
07/11/2024,07/12/2024,EL PARADOR CAFE,Food & Drink,Sale,-125.61,
07/10/2024,07/12/2024,MTA*NYCT PAYGO,Travel,Sale,-2.90,
07/11/2024,07/12/2024,CRUNCH103,Health & Wellness,Sale,-10.83,
07/09/2024,07/11/2024,HEUK HWA DANG - NY,Food & Drink,Sale,-6.11,
07/09/2024,07/11/2024,TOSOKCHON NYC,Food & Drink,Sale,-58.36,
07/09/2024,07/10/2024,SQ *KING'S STREET COFFEE,Food & Drink,Sale,-13.25,
07/08/2024,07/10/2024,TST* OLIO E PIU,Food & Drink,Sale,-163.67,
07/09/2024,07/10/2024,IC* COSTCO BY INSTACAR,Shopping,Sale,-128.90,
07/09/2024,07/10/2024,ZIPTHRU,Food & Drink,Sale,-40.00,
07/08/2024,07/09/2024,TST* PAMINA DOLCI &amp; GELAT,Food & Drink,Sale,-8.18,
07/08/2024,07/09/2024,BROOKLYN HARVEST,Groceries,Sale,-26.24,
07/08/2024,07/09/2024,UBER   TRIP,Travel,Sale,-32.72,
07/08/2024,07/09/2024,Payment Thank You-Mobile,,Payment,2145.10,
07/07/2024,07/08/2024,GRUBHUBGHPLUS,Food & Drink,Sale,-10.79,
07/06/2024,07/08/2024,TST* TAKE31,Food & Drink,Sale,-139.48,
07/07/2024,07/07/2024,ANNUAL HOTEL CREDIT,Fees & Adjustments,Adjustment,50.00,
07/05/2024,07/07/2024,DD *DOORDASH DELITERIA,Food & Drink,Sale,-44.35,
07/04/2024,07/07/2024,KARAOKE DUET 35,Food & Drink,Sale,-64.42,
07/06/2024,07/07/2024,CL *Chase Travel,Travel,Sale,-1267.46,
07/07/2024,07/07/2024,LYFT   *RIDE SAT 1AM,Travel,Sale,-10.40,
07/05/2024,07/07/2024,CURB NYC TAXI,Travel,Sale,-19.80,
07/05/2024,07/07/2024,LYFT   *RIDE FRI 12AM,Travel,Sale,-10.40,
07/06/2024,07/07/2024,LYFT   *RIDE FRI 10AM,Travel,Sale,-15.76,
07/05/2024,07/07/2024,10291 CAVA 307 7TH AVE,Food & Drink,Sale,-35.93,
07/05/2024,07/07/2024,NATURES CURE PHARMACY,Health & Wellness,Sale,-3.99,
07/04/2024,07/07/2024,H MART,Groceries,Sale,-7.09,
07/03/2024,07/04/2024,SQ *KING'S STREET COFFEE,Food & Drink,Sale,-5.50,
07/03/2024,07/04/2024,HYO DONG GAK,Food & Drink,Sale,-108.83,
07/02/2024,07/03/2024,SQ *GROUND CENTRAL COFFEE,Food & Drink,Sale,-14.67,
07/02/2024,07/03/2024,TikTok Shop,Shopping,Sale,-18.33,
07/02/2024,07/03/2024,INSTACART CREDIT,Fees & Adjustments,Adjustment,15.00,
07/02/2024,07/03/2024,IC* COSTCO BY INSTACAR,Groceries,Sale,-55.96,
07/01/2024,07/02/2024,MY SUSHI JAPANESE RESTAU,Food & Drink,Sale,-57.48,
